	AT_vs_LM98	AT_vs_LUv2	LM98_vs_AT	LM98_vs_LUv2	LUv2_vs_AT	LUv2_vs_LM98
Lus10004545	0	0	0	0	1	1
Lus10010349	1	0	1	1	1	1
Lus10038134	1	1	1	1	1	1
Lus10021176	1	1	1	1	1	1
Lus10041255	0	1	1	1	1	1
Lus10000823	0	0	0	0	1	1
Lus10022537	1	1	0	0	1	1
Lus10027066	1	0	1	1	1	1
Lus10030088	1	1	1	1	1	1
Lus10033011	1	0	1	0	1	1
Lus10028239	1	0	1	1	1	1
Lus10026313	1	1	1	0	1	0
Lus10034183	1	1	0	0	1	1
Lus10020980	0	0	0	0	1	1
Lus10027519	0	0	0	0	1	0
Lus10003764	1	1	1	1	1	1
Lus10023321	1	1	1	0	1	1
Lus10043047	1	0	0	1	1	1
Lus10001329	1	0	1	1	1	1
Lus10007438	1	1	0	0	1	1
Lus10036207	1	0	1	1	1	1
Lus10014157	1	1	1	1	1	1
Lus10009875	1	1	1	1	1	0
Lus10038611	1	1	1	1	1	1
Lus10006534	1	1	1	1	1	1
Lus10011816	1	1	1	1	1	1
Lus10040329	0	0	0	1	1	1
Lus10025573	1	0	1	1	1	1
Lus10019030	1	1	0	1	1	1
Lus10012065	1	0	1	1	1	0
Lus10032758	1	1	1	1	1	1
Lus10037179	0	0	1	1	1	1
Lus10038975	1	1	0	0	1	1
Lus10028374	1	1	0	0	1	1
Lus10043004	1	1	1	1	1	1
Lus10028682	1	0	0	0	1	0
Lus10020903	1	1	1	1	1	1
Lus10037280	1	1	0	0	1	1
Lus10010820	1	0	0	0	1	1
Lus10011959	1	1	1	1	1	1
Lus10040829	1	0	0	0	1	1
Lus10016373	1	1	1	1	1	1
Lus10024794	0	0	1	1	1	1
Lus10003454	1	1	1	0	1	0
Lus10011157	1	1	1	1	1	1
Lus10023676	0	0	0	0	1	1
Lus10014366	1	1	1	1	1	1
Lus10031645	1	1	1	1	1	1
Lus10010812	0	1	1	1	1	1
Lus10001753	0	0	0	0	1	1
Lus10020207	1	0	1	1	1	1
Lus10005459	1	1	1	0	1	0
Lus10002748	1	1	1	1	1	1
Lus10040863	0	0	1	1	1	1
Lus10014179	1	0	1	0	1	1
Lus10021527	0	0	1	1	1	1
Lus10012630	0	0	0	0	1	1
Lus10041711	1	0	0	1	1	1
Lus10030601	0	0	0	0	1	1
Lus10029540	1	0	1	1	1	1
Lus10014395	1	1	1	1	1	1
Lus10023779	1	0	0	0	1	1
Lus10039349	0	0	0	0	1	1
Lus10020000	1	1	1	0	1	1
Lus10003273	1	1	1	1	1	1
Lus10002641	1	1	1	1	1	1
Lus10016560	0	0	0	0	1	1
Lus10017796	1	1	0	0	1	1
Lus10039347	1	1	1	1	1	0
Lus10013891	1	1	0	0	1	1
Lus10005568	0	1	0	0	1	0
Lus10021158	0	0	1	1	1	1
Lus10021012	1	1	1	1	1	0
Lus10021341	1	1	1	1	1	1
Lus10015702	0	0	0	0	1	1
Lus10039619	1	1	0	0	1	0
Lus10031321	0	0	0	0	1	1
Lus10008175	1	0	1	1	1	1
Lus10009830	0	0	1	1	1	1
Lus10007178	1	1	1	1	1	1
Lus10023832	1	1	1	1	1	0
Lus10042934	0	0	1	1	1	1
Lus10026972	1	1	0	0	1	1
Lus10040353	1	1	1	1	1	1
Lus10026946	1	1	1	1	1	1
Lus10041428	1	1	1	1	1	1
Lus10021903	1	1	1	1	1	1
Lus10010447	1	1	1	1	1	1
Lus10008000	1	1	1	1	1	1
Lus10000910	0	0	1	1	1	1
Lus10026475	0	0	0	0	1	1
Lus10015599	0	0	1	1	1	1
Lus10012382	1	0	1	1	1	1
Lus10021823	0	0	1	1	1	1
Lus10017309	1	0	1	0	1	1
Lus10005817	1	1	1	1	1	0
Lus10032356	0	0	0	0	1	1
Lus10023473	1	1	0	0	1	1
Lus10040042	0	0	1	1	1	1
Lus10031265	1	1	1	0	1	0
Lus10001658	0	1	1	1	1	1
Lus10028747	0	0	0	0	1	1
Lus10010856	1	0	0	0	1	1
Lus10042645	1	1	1	1	1	1
Lus10019995	0	0	1	1	1	1
Lus10026592	1	0	0	1	1	1
Lus10030305	1	1	1	1	1	0
Lus10031484	0	0	1	1	1	1
Lus10042219	1	1	1	0	1	1
Lus10022503	1	1	1	0	1	1
Lus10009595	0	0	0	0	1	0
Lus10016503	1	1	1	1	1	0
Lus10024520	1	1	1	1	1	1
Lus10007356	0	0	0	0	1	1
Lus10025285	1	1	0	0	1	0
Lus10010279	1	0	1	0	1	1
Lus10037985	1	1	1	0	1	0
Lus10011578	1	1	1	1	1	1
Lus10041437	0	0	0	1	1	1
Lus10022351	1	1	0	1	1	1
Lus10038857	1	0	1	1	1	1
Lus10036331	1	1	1	1	1	1
Lus10022261	0	0	0	0	1	0
Lus10038014	0	1	0	0	1	1
Lus10026561	1	1	0	0	1	0
Lus10020625	0	0	1	1	1	0
Lus10021684	1	1	1	1	1	0
Lus10027579	1	1	1	1	1	1
Lus10039051	1	0	0	0	1	1
Lus10027171	1	0	1	1	1	1
Lus10007699	1	1	1	1	1	0
Lus10008027	1	1	0	0	1	0
Lus10013273	1	1	1	1	1	1
Lus10009781	1	0	1	1	1	1
Lus10016400	1	1	1	1	1	1
Lus10023325	1	0	1	0	1	1
Lus10040003	1	1	1	1	1	1
Lus10018971	0	0	1	1	1	1
Lus10037147	1	1	1	1	1	1
Lus10012280	1	1	1	1	1	1
Lus10032298	1	0	1	1	1	0
Lus10035905	1	1	1	1	1	1
Lus10005306	1	1	1	1	1	1
Lus10037894	1	1	1	1	1	1
Lus10007557	0	0	0	1	1	1
Lus10042277	0	0	1	1	1	0
Lus10029215	0	0	1	1	1	0
Lus10041893	0	0	1	0	1	0
Lus10042191	1	0	1	1	1	1
Lus10007435	0	1	1	1	1	1
Lus10035341	1	0	1	1	1	1
Lus10034994	1	1	1	1	1	1
Lus10003354	1	1	1	1	1	1
Lus10015550	1	0	0	0	1	1
Lus10014447	1	1	1	1	1	1
Lus10038172	1	1	0	0	1	0
Lus10025199	1	1	0	1	1	1
Lus10005851	1	1	1	1	1	1
Lus10031713	1	1	1	1	1	1
Lus10029708	0	1	1	1	1	1
Lus10000706	1	1	1	1	1	1
Lus10003485	1	1	1	1	1	0
Lus10011621	0	0	0	0	1	1
Lus10011072	1	1	1	1	1	1
Lus10040869	1	1	1	0	1	0
Lus10039231	1	1	0	0	1	1
Lus10015851	1	1	1	1	1	1
Lus10016078	1	0	1	1	1	1
Lus10017756	0	0	0	0	1	1
Lus10002537	1	1	1	1	1	1
Lus10024967	0	0	0	1	1	0
Lus10020291	0	0	0	0	1	1
Lus10006315	0	0	0	0	1	0
Lus10007251	1	1	1	1	1	1
Lus10043363	1	1	1	1	1	1
Lus10043286	1	1	1	1	1	1
Lus10002149	1	1	1	1	1	1
Lus10003703	0	0	0	0	1	1
Lus10013460	0	0	0	1	1	0
Lus10037125	1	0	1	1	1	1
Lus10031024	0	0	1	1	1	1
Lus10031461	0	1	1	1	1	1
Lus10024230	1	1	1	1	1	1
Lus10030072	0	0	0	0	1	1
Lus10007768	0	0	0	0	1	1
Lus10019373	0	0	1	0	1	0
Lus10004433	1	1	1	1	1	1
Lus10007749	0	0	1	1	1	1
Lus10042921	0	0	1	1	1	1
Lus10042853	1	0	1	0	1	1
Lus10025087	1	1	1	1	1	1
Lus10006401	0	0	1	0	1	0
Lus10042678	1	1	0	0	1	1
Lus10012425	1	1	1	1	1	1
Lus10037785	1	0	0	0	1	1
Lus10016333	1	1	1	1	1	1
Lus10041413	1	0	1	1	1	1
Lus10037733	1	1	1	1	1	1
Lus10027196	1	1	1	0	1	1
Lus10041531	0	0	0	0	1	1
Lus10010540	1	1	1	1	1	1
Lus10004267	0	0	0	0	1	1
Lus10013354	1	1	1	1	1	1
Lus10039179	1	1	0	1	1	1
Lus10026528	1	1	1	1	1	0
Lus10024084	1	1	1	1	1	1
Lus10004188	1	1	0	0	1	1
Lus10020269	1	1	1	1	1	1
Lus10030917	1	1	0	0	1	0
Lus10021807	1	1	1	1	1	1
Lus10032176	1	1	1	0	1	1
Lus10009489	1	1	1	1	1	1
Lus10011259	1	1	1	1	1	0
Lus10034631	1	1	1	1	1	1
Lus10013195	1	1	1	1	1	0
Lus10001505	0	0	1	1	1	1
Lus10027416	1	1	0	1	1	1
Lus10007061	0	0	0	0	1	1
Lus10011073	1	1	1	1	1	1
Lus10008594	1	1	1	1	1	0
Lus10022125	1	1	1	1	1	1
Lus10021311	1	1	0	0	1	1
Lus10035904	1	0	1	1	1	1
Lus10037150	1	0	1	1	1	1
Lus10036085	1	1	1	1	1	1
Lus10030063	1	1	1	1	1	1
Lus10030393	1	1	1	1	1	1
Lus10013832	1	1	1	1	1	1
Lus10003266	0	1	1	1	1	1
Lus10042903	1	1	1	1	1	1
Lus10040953	0	0	0	0	1	1
Lus10027442	1	1	0	1	1	1
Lus10016613	1	0	1	1	1	1
Lus10039455	1	1	1	1	1	1
Lus10025081	1	1	1	1	1	1
Lus10031293	1	1	1	1	1	1
Lus10034696	1	1	1	0	1	0
Lus10003167	0	1	0	1	1	1
Lus10028984	0	0	1	0	1	1
Lus10019850	0	0	0	0	1	1
Lus10024904	1	1	1	1	1	0
Lus10028251	1	1	0	0	1	1
Lus10042572	1	1	0	0	1	1
Lus10020357	1	1	1	1	1	1
Lus10014507	1	1	1	1	1	1
Lus10023813	1	1	1	1	1	1
Lus10017169	1	1	1	1	1	1
Lus10000945	1	0	1	1	1	1
Lus10035193	0	0	0	0	1	0
Lus10029261	0	1	1	1	1	1
Lus10001059	0	0	1	1	1	1
Lus10030319	1	1	0	1	1	1
Lus10001178	1	0	0	0	1	1
Lus10031745	1	1	1	1	1	1
Lus10011795	1	1	0	0	1	1
Lus10033673	0	0	1	0	1	1
Lus10038159	0	0	0	0	1	1
Lus10001631	1	1	1	1	1	0
Lus10010842	0	0	0	0	1	0
Lus10014746	0	0	0	0	1	1
Lus10017324	1	1	1	1	1	1
Lus10006625	0	0	1	1	1	0
Lus10025821	1	1	1	1	1	1
Lus10039925	1	1	1	0	1	0
Lus10011989	1	0	1	1	1	1
Lus10004519	1	1	1	1	1	1
Lus10016302	1	1	0	0	1	1
Lus10001563	1	1	0	0	1	1
Lus10006186	1	1	1	0	1	0
Lus10019913	1	1	1	1	1	1
Lus10021887	0	1	1	1	1	1
Lus10037644	1	1	1	1	1	1
Lus10002865	0	0	1	1	1	1
Lus10023828	1	1	1	1	1	1
Lus10007548	0	0	0	0	1	1
Lus10023394	1	1	1	1	1	1
Lus10014049	0	0	0	0	1	1
Lus10008877	1	1	1	1	1	1
Lus10022997	1	1	1	1	1	1
Lus10025297	1	0	1	1	1	1
Lus10028433	1	1	1	1	1	1
Lus10034998	1	1	1	1	1	1
Lus10014518	1	1	1	1	1	1
Lus10028960	1	1	1	1	1	1
Lus10032214	1	0	1	1	1	1
Lus10015615	0	1	1	1	1	1
Lus10023337	1	0	0	0	1	1
Lus10018282	1	1	1	1	1	1
Lus10026593	0	1	1	1	1	1
Lus10033012	1	1	0	0	1	1
Lus10017587	1	1	1	1	1	1
Lus10038733	1	1	1	1	1	0
Lus10019879	1	0	0	0	1	1
Lus10024817	1	1	1	1	1	1
Lus10042238	1	1	1	1	1	1
Lus10007405	1	0	0	0	1	1
Lus10028926	1	1	1	1	1	1
Lus10021456	1	1	1	1	1	1
Lus10018074	1	1	1	1	1	1
Lus10026743	1	1	1	1	1	1
Lus10012971	0	0	1	1	1	0
Lus10036148	1	1	0	0	1	1
Lus10005500	0	0	1	1	1	0
Lus10040910	0	1	1	1	1	0
Lus10035794	0	0	0	0	1	0
Lus10025767	1	1	0	0	1	1
Lus10018478	0	0	0	0	1	1
Lus10018563	1	1	1	1	1	1
Lus10008832	1	1	0	0	1	1
Lus10011587	1	0	1	0	1	1
Lus10036654	1	1	0	0	1	1
Lus10007751	0	0	1	1	1	1
Lus10036573	1	1	1	1	1	1
Lus10003080	1	1	0	0	1	1
Lus10010587	1	1	1	1	1	1
Lus10002728	1	1	1	1	1	1
Lus10039754	0	0	0	0	1	1
Lus10029643	1	1	1	1	1	1
Lus10010040	1	1	0	0	1	1
Lus10003589	1	0	1	1	1	1
Lus10012460	1	1	1	0	1	0
Lus10007750	0	0	1	1	1	1
Lus10018827	1	1	1	1	1	1
Lus10020775	0	0	0	0	1	0
Lus10041533	1	1	1	1	1	1
Lus10024349	1	0	0	0	1	1
Lus10010041	1	1	0	0	1	1
Lus10005766	1	1	1	1	1	1
Lus10036724	1	1	0	0	1	1
Lus10037435	0	0	1	1	1	1
Lus10008829	0	1	0	0	1	1
Lus10039184	1	1	0	1	1	1
Lus10029702	1	1	1	0	1	0
Lus10006016	1	1	0	0	1	1
Lus10023113	1	1	0	1	1	1
Lus10028069	1	1	1	0	1	0
Lus10036587	1	1	1	1	1	1
Lus10003633	1	1	1	1	1	1
Lus10031286	0	0	1	1	1	1
Lus10020917	1	0	1	1	1	1
Lus10031242	1	1	1	1	1	1
Lus10029510	1	1	1	1	1	1
Lus10020847	1	1	1	1	1	0
Lus10003409	0	1	0	0	1	1
Lus10006886	1	1	1	0	1	0
Lus10013520	0	0	0	0	1	1
Lus10043431	1	0	1	1	1	0
Lus10006155	1	1	1	1	1	1
Lus10033794	1	1	0	0	1	1
Lus10038688	1	1	1	1	1	1
Lus10010330	1	1	1	1	1	0
Lus10033443	1	1	1	1	1	1
Lus10008586	1	1	1	1	1	1
Lus10004183	1	1	0	0	1	1
Lus10022766	0	0	1	1	1	0
Lus10018368	1	0	1	1	1	0
Lus10036820	0	1	1	1	1	0
Lus10025092	0	0	1	1	1	1
Lus10024442	1	1	1	1	1	1
Lus10003521	1	1	1	1	1	1
Lus10030996	1	1	1	1	1	0
Lus10006714	1	1	1	1	1	1
Lus10009846	1	1	0	0	1	1
Lus10017519	0	0	0	0	1	1
Lus10004737	0	0	0	0	1	1
Lus10015172	1	0	1	1	1	1
Lus10026446	1	1	1	1	1	1
Lus10038232	1	1	1	1	1	1
Lus10036373	1	1	1	1	1	1
Lus10000877	1	1	1	1	1	1
Lus10031959	1	1	1	1	1	1
Lus10002582	0	0	1	1	1	1
Lus10043456	1	1	1	1	1	1
Lus10008001	1	1	1	1	1	1
Lus10004381	1	1	1	1	1	1
Lus10041410	1	1	1	1	1	1
Lus10027049	1	1	0	0	1	0
Lus10030344	1	1	1	1	1	1
Lus10019442	1	1	0	0	1	0
Lus10026656	1	1	0	0	1	0
Lus10032609	1	1	1	1	1	0
Lus10037860	0	0	0	0	1	1
Lus10038633	1	1	1	1	1	1
Lus10033565	1	1	1	1	1	1
Lus10021642	1	1	1	1	1	1
Lus10004459	0	0	0	0	1	1
Lus10024613	1	1	1	1	1	0
Lus10030394	1	1	1	0	1	0
Lus10026467	1	1	1	1	1	1
Lus10028648	1	1	1	1	1	1
Lus10016145	1	1	0	1	1	1
Lus10018904	1	1	0	1	1	0
Lus10002237	0	0	0	0	1	1
Lus10032442	0	0	0	0	1	1
Lus10035717	0	0	1	1	1	1
Lus10035513	1	1	0	1	1	1
Lus10041301	1	1	1	1	1	1
Lus10039736	1	1	1	1	1	1
Lus10002847	0	0	1	1	1	1
Lus10031701	0	0	1	1	1	0
Lus10007637	0	0	0	0	1	1
Lus10038511	0	1	1	1	1	1
Lus10013931	1	0	1	1	1	1
Lus10021542	1	1	0	1	1	1
Lus10007189	0	0	0	0	1	1
Lus10037648	1	0	1	0	1	0
Lus10021594	1	1	1	1	1	1
Lus10020852	1	1	1	1	1	1
Lus10038071	1	1	0	1	1	1
Lus10014624	1	1	1	1	1	1
Lus10006893	1	1	1	1	1	1
Lus10010838	0	1	1	1	1	1
Lus10017421	1	1	1	1	1	0
Lus10012658	1	0	1	1	1	0
Lus10024574	1	1	0	0	1	1
Lus10023344	1	1	1	1	1	1
Lus10017922	1	0	0	0	1	1
Lus10027187	0	0	0	0	1	1
Lus10038044	1	1	1	1	1	1
Lus10018240	0	0	1	1	1	1
Lus10021884	0	0	0	0	1	1
Lus10031399	1	1	1	1	1	0
Lus10028092	1	1	1	1	1	1
Lus10002529	1	1	1	1	1	1
Lus10027942	1	0	1	1	1	1
Lus10031936	0	0	0	0	1	1
Lus10028023	1	1	1	1	1	0
Lus10020747	1	1	1	1	1	1
Lus10038426	1	1	1	1	1	1
Lus10037652	1	1	1	1	1	1
Lus10015281	0	0	0	0	1	0
Lus10010481	1	1	0	0	1	1
Lus10009090	1	0	1	1	1	1
Lus10039765	0	0	0	0	1	1
Lus10002095	1	1	1	1	1	1
Lus10023767	0	1	1	1	1	1
Lus10031117	0	0	1	1	1	1
Lus10015659	1	1	1	1	1	1
Lus10039777	1	1	1	1	1	1
Lus10010845	0	1	1	0	1	1
Lus10018142	1	1	1	1	1	0
Lus10022171	1	1	1	1	1	1
Lus10010626	1	1	1	1	1	1
Lus10012520	1	1	0	0	1	1
Lus10029129	0	0	0	1	1	1
Lus10025327	1	1	1	1	1	1
Lus10017206	1	1	1	1	1	1
Lus10008037	1	0	1	1	1	0
Lus10012368	1	0	1	1	1	1
Lus10013080	0	0	0	0	1	1
Lus10019874	0	1	1	1	1	1
Lus10008399	1	1	1	1	1	1
Lus10008146	0	0	0	0	1	1
Lus10000730	1	0	1	1	1	0
Lus10018007	1	0	0	0	1	1
Lus10040521	0	0	1	0	1	0
Lus10032226	1	1	1	1	1	1
Lus10041351	0	0	0	0	1	0
Lus10042184	1	0	0	1	1	1
Lus10021125	1	1	1	1	1	1
Lus10009438	0	1	1	1	1	1
Lus10036998	1	1	1	1	1	1
Lus10027274	1	1	1	1	1	1
Lus10003943	1	1	0	1	1	1
Lus10002007	1	1	1	0	1	0
Lus10023947	0	0	0	0	1	1
Lus10017875	1	1	1	1	1	1
Lus10035104	1	0	0	0	1	0
Lus10014796	1	1	1	1	1	1
Lus10030812	1	0	1	1	1	1
Lus10024148	1	0	0	0	1	0
Lus10025890	0	0	0	0	1	1
Lus10032191	1	1	1	1	1	1
Lus10005532	1	1	1	1	1	1
Lus10016949	1	1	1	1	1	1
Lus10008902	1	0	1	1	1	1
Lus10007887	1	1	1	1	1	1
Lus10008255	1	1	1	1	1	1
Lus10011618	1	1	0	1	1	1
Lus10016230	1	1	1	1	1	1
Lus10016233	1	1	1	1	1	1
Lus10023815	1	1	1	0	1	1
Lus10001217	1	1	1	1	1	1
Lus10038882	1	0	1	1	1	1
Lus10034636	0	0	0	0	1	1
Lus10042360	1	0	0	0	1	1
Lus10009655	1	1	1	1	1	1
Lus10004090	1	1	1	1	1	1
Lus10023290	0	0	1	1	1	0
Lus10013921	0	0	0	0	1	1
Lus10021692	1	1	1	1	1	1
Lus10028073	1	1	0	0	1	1
Lus10002290	0	0	1	1	1	0
Lus10004113	1	0	1	0	1	1
Lus10010869	0	0	1	1	1	1
Lus10032070	0	0	1	1	1	0
Lus10019283	1	1	0	0	1	1
Lus10017124	1	1	0	1	1	1
Lus10037196	1	1	1	0	1	0
Lus10040181	1	1	1	1	1	1
Lus10017767	1	1	0	0	1	0
Lus10032213	1	0	1	1	1	1
Lus10025031	0	1	1	1	1	1
Lus10040675	0	0	1	1	1	0
Lus10033425	0	0	0	0	1	0
Lus10016642	1	0	1	0	1	0
Lus10023198	0	1	1	1	1	1
Lus10000601	1	1	0	0	1	0
Lus10032675	1	0	0	0	1	1
Lus10020516	1	1	1	1	1	1
Lus10002899	1	1	0	1	1	0
Lus10042030	1	0	1	1	1	1
Lus10029144	1	0	1	1	1	1
Lus10002962	1	1	0	1	1	1
Lus10035773	1	0	1	1	1	1
Lus10002790	1	1	0	0	1	1
Lus10018079	1	0	1	1	1	0
Lus10006149	1	1	1	1	1	0
Lus10008958	0	0	1	1	1	1
Lus10018176	1	1	1	1	1	1
Lus10006172	1	0	1	1	1	1
Lus10035768	1	1	1	1	1	1
Lus10038845	1	1	1	1	1	1
Lus10010050	1	1	0	0	1	1
Lus10018651	1	0	0	0	1	1
Lus10025462	1	1	1	1	1	1
Lus10010768	1	1	1	1	1	1
Lus10028316	0	0	1	1	1	1
Lus10026916	1	0	1	1	1	1
Lus10022307	1	1	1	1	1	1
Lus10013596	0	0	1	0	1	0
Lus10016631	1	1	0	0	1	1
Lus10031284	1	0	0	0	1	1
Lus10034979	1	1	1	1	1	1
Lus10040682	1	1	1	0	1	1
Lus10004380	1	1	1	0	1	0
Lus10013951	1	1	1	1	1	1
Lus10006682	1	1	0	0	1	1
Lus10019701	1	0	0	0	1	1
Lus10029409	1	0	1	1	1	1
Lus10008372	1	1	1	1	1	1
Lus10007680	1	1	0	0	1	1
Lus10036338	1	1	1	1	1	1
Lus10006449	1	1	0	0	1	1
Lus10026595	0	0	1	1	1	1
Lus10001113	1	1	1	1	1	1
Lus10026597	0	0	0	0	1	1
Lus10036562	0	0	0	0	1	1
Lus10020304	0	0	0	0	1	1
Lus10035681	1	0	1	1	1	1
Lus10035559	0	1	1	0	1	1
Lus10019880	0	0	1	0	1	1
Lus10002836	0	0	0	0	1	0
Lus10026928	0	1	0	0	1	1
Lus10017484	1	1	1	1	1	1
Lus10034786	1	0	1	1	1	1
Lus10014856	1	1	1	1	1	1
Lus10016454	0	0	1	1	1	1
Lus10039836	1	1	1	0	1	0
Lus10043276	1	1	1	1	1	1
Lus10001036	0	0	1	1	1	1
Lus10037559	1	1	1	1	1	1
Lus10037221	1	1	1	1	1	1
Lus10001382	1	1	1	1	1	1
Lus10007222	1	1	1	1	1	0
Lus10012764	1	0	0	0	1	1
Lus10011667	1	1	1	1	1	1
Lus10031291	1	0	1	0	1	0
Lus10042885	0	0	0	0	1	1
Lus10035484	1	1	0	0	1	1
Lus10016663	0	0	0	0	1	1
Lus10002411	1	1	1	1	1	1
Lus10006553	0	0	1	1	1	1
Lus10015075	1	1	1	1	1	1
Lus10010681	0	0	1	1	1	0
Lus10025216	1	1	1	1	1	1
Lus10024246	1	1	1	1	1	1
Lus10029356	1	1	1	1	1	1
Lus10027491	0	0	1	1	1	0
Lus10021218	1	1	0	0	1	1
Lus10003285	0	0	0	0	1	1
Lus10033214	0	0	0	0	1	1
Lus10006721	1	1	0	1	1	1
Lus10031719	0	0	0	0	1	1
Lus10013133	1	0	1	1	1	1
Lus10007021	0	0	1	1	1	1
Lus10028695	1	1	1	1	1	1
Lus10006955	1	0	1	1	1	1
Lus10006322	0	0	0	0	1	1
Lus10005732	1	1	1	1	1	0
Lus10002857	1	1	1	1	1	1
Lus10022954	0	1	0	0	1	1
Lus10004973	1	0	1	1	1	1
Lus10006083	1	1	1	1	1	1
Lus10011313	1	1	1	1	1	1
Lus10007231	0	1	1	0	1	1
Lus10030894	1	1	0	0	1	1
Lus10031978	0	0	1	1	1	1
Lus10029218	0	0	0	0	1	1
Lus10006650	1	0	1	1	1	1
Lus10024730	1	1	1	1	1	0
Lus10038590	1	1	1	1	1	1
Lus10043216	1	1	1	1	1	1
Lus10007406	1	1	1	1	1	1
Lus10033018	1	1	1	1	1	1
Lus10032884	1	0	1	1	1	1
Lus10042417	1	1	1	1	1	1
Lus10039629	1	1	1	1	1	1
Lus10003652	1	1	1	1	1	1
Lus10008433	1	1	0	0	1	1
Lus10013554	1	1	0	0	1	1
Lus10012407	1	1	1	1	1	1
Lus10010795	0	0	1	0	1	0
Lus10000618	1	1	0	1	1	0
Lus10028280	0	0	1	1	1	0
Lus10014473	0	0	0	0	1	1
Lus10002799	1	1	1	1	1	0
Lus10010723	1	1	1	1	1	1
Lus10019559	1	1	1	1	1	1
Lus10019091	1	1	1	1	1	1
Lus10012693	1	1	1	1	1	1
Lus10035650	1	0	1	0	1	0
Lus10007960	0	1	0	1	1	0
Lus10008279	1	1	1	1	1	1
Lus10026627	1	1	1	1	1	1
Lus10010928	0	0	1	1	1	0
Lus10004189	1	1	1	1	1	1
Lus10038349	1	1	1	1	1	0
Lus10004035	0	1	0	1	1	0
Lus10018156	1	1	1	1	1	1
Lus10001839	1	1	0	0	1	0
Lus10021128	1	0	0	0	1	0
Lus10012147	1	1	0	0	1	1
Lus10014164	1	1	0	0	1	1
Lus10023888	1	0	1	1	1	1
Lus10012084	1	1	1	1	1	1
Lus10027991	1	1	0	0	1	1
Lus10011622	1	1	1	1	1	1
Lus10020545	1	0	1	1	1	1
Lus10031603	1	1	1	1	1	1
Lus10010341	1	1	1	0	1	1
Lus10012898	1	1	1	0	1	0
Lus10023041	1	0	1	1	1	1
Lus10002500	0	0	0	0	1	0
Lus10004448	1	1	1	1	1	1
Lus10005292	1	1	1	1	1	1
Lus10003826	1	1	0	0	1	1
Lus10038350	1	1	1	1	1	1
Lus10009046	1	1	1	1	1	1
Lus10017143	1	1	1	1	1	1
Lus10021930	1	1	1	1	1	0
Lus10011178	0	0	0	0	1	1
Lus10021143	1	0	1	1	1	1
Lus10035580	1	0	1	1	1	1
Lus10030766	1	1	1	1	1	1
Lus10037617	0	0	1	1	1	1
Lus10011149	0	0	1	1	1	1
Lus10035886	1	1	1	1	1	1
Lus10022385	1	1	1	1	1	1
Lus10034967	1	1	0	0	1	1
Lus10042596	0	1	1	1	1	1
Lus10043165	0	1	0	0	1	1
Lus10023864	1	1	1	1	1	0
Lus10036237	1	1	0	0	1	0
Lus10004249	1	0	0	0	1	1
Lus10020659	1	1	1	1	1	1
Lus10032660	1	1	1	1	1	1
Lus10040606	1	1	1	1	1	1
Lus10042183	1	0	1	1	1	1
Lus10023727	1	1	1	1	1	1
Lus10036707	1	1	1	1	1	1
Lus10020012	1	1	1	1	1	1
Lus10026622	1	1	0	0	1	0
Lus10036349	1	1	1	1	1	1
Lus10028756	0	0	1	1	1	1
Lus10003981	1	1	1	1	1	1
Lus10040578	1	1	1	1	1	1
Lus10005101	0	0	0	0	1	1
Lus10027798	1	1	1	1	1	0
Lus10020415	1	1	0	0	1	0
Lus10032382	1	1	1	1	1	1
Lus10035461	0	0	1	0	1	1
Lus10014700	1	0	0	0	1	1
Lus10030508	0	0	0	0	1	1
Lus10001855	1	1	1	1	1	1
Lus10038394	1	1	1	1	1	1
Lus10006817	1	0	1	1	1	0
Lus10032736	1	1	1	1	1	1
Lus10015211	1	1	1	1	1	1
Lus10012465	1	1	1	1	1	1
Lus10006547	0	1	1	1	1	1
Lus10007692	0	0	1	1	1	0
Lus10029502	0	0	0	0	1	1
Lus10003053	0	0	0	0	1	1
Lus10019994	1	0	1	1	1	1
Lus10017468	1	0	1	0	1	0
Lus10013509	1	1	1	1	1	1
Lus10014389	1	0	1	1	1	0
Lus10023783	0	0	1	1	1	1
Lus10040563	0	1	1	1	1	1
Lus10003178	1	1	1	1	1	1
Lus10022975	1	1	1	1	1	1
Lus10008607	1	1	0	0	1	0
Lus10021440	1	1	1	1	1	1
Lus10038679	1	1	0	0	1	1
Lus10023697	0	0	0	0	1	1
Lus10041407	1	0	1	1	1	1
Lus10014623	1	0	1	1	1	1
Lus10035320	1	1	0	0	1	1
Lus10035902	0	0	0	0	1	1
Lus10009683	1	1	1	1	1	1
Lus10006846	0	0	1	1	1	1
Lus10005928	0	0	1	1	1	1
Lus10034810	1	1	1	1	1	1
Lus10025001	1	1	1	1	1	0
Lus10007915	0	1	1	1	1	1
Lus10001090	0	0	0	0	1	1
Lus10018061	1	1	0	0	1	0
Lus10005594	1	0	1	0	1	1
Lus10012832	1	1	1	1	1	1
Lus10018790	1	1	1	1	1	1
Lus10022753	1	1	1	1	1	0
Lus10011987	1	0	1	1	1	1
Lus10023239	1	1	0	0	1	1
Lus10013872	0	0	0	0	1	1
Lus10025263	1	1	1	1	1	1
Lus10041183	1	1	0	0	1	1
Lus10002569	0	0	0	0	1	1
Lus10018241	1	1	1	1	1	1
Lus10016999	0	0	0	0	1	1
Lus10024111	1	1	1	1	1	1
Lus10033974	1	0	1	1	1	1
Lus10009829	1	1	1	1	1	1
